Name,Frequency,Lithography,Platform,Price,Year
i7-7Y75,1.3,14,Mobile,393.0,2016
i5-8250U,1.6,14,Mobile,297.0,2017
i7-8550U,1.8,14,Mobile,409.0,2017
i7-3820,3.6,32,Desktop,305.0,2012
i5-7Y57,1.2,14,Mobile,281.0,2017
3205U,1.5,14,Mobile,107.0,2015
G1610,2.6,22,Desktop,42.0,2013
2020M,2.4,22,Mobile,134.0,2012
3825U,1.9,14,Mobile,161.0,2015
4405U,2.1,14,Mobile,161.0,2015
N3710,1.6,14,Mobile,161.0,2016
J2850,2.41,22,Desktop,94.0,2013
J2900,2.41,22,Desktop,94.0,2013
N3700,1.6,14,Mobile,161.0,2015
N3520,2.17,22,Mobile,161.0,2013
N3530,2.16,22,Mobile,161.0,2014
N3540,2.16,22,Mobile,161.0,2014
N4200,1.1,14,Mobile,161.0,2016
4405Y,1.5,14,Mobile,161.0,2015
4415Y,1.6,14,Mobile,161.0,2017
4410Y,1.5,14,Mobile,161.0,2017
4415U,2.3,14,Mobile,161.0,2017
3805U,1.9,14,Mobile,161.0,2015
3561Y,1.2,22,Mobile,161.0,2013
3560M,2.4,22,Mobile,134.0,2014
3558U,1.7,22,Mobile,161.0,2013
3550M,2.3,22,Mobile,134.0,2013
2117U,1.8,22,Mobile,134.0,2012
2030M,2.5,22,Mobile,134.0,2013
2127U,1.9,22,Mobile,134.0,2013
A1020,2.41,22,Mobile,86.0,2016
1405V2,1.4,22,Embedded,156.0,2014
G620,2.6,32,Desktop,64.0,2011
G620T,2.2,32,Desktop,73.5,2011
G840,2.8,32,Desktop,75.0,2011
G850,2.9,32,Desktop,71.0,2011
G630,2.7,32,Desktop,64.0,2011
G860,3.0,32,Desktop,75.0,2011
G630T,2.3,32,Desktop,72.0,2011
E6800,3.33,45,Desktop,93.0,2010
960,3.6,65,Desktop,316.0,2006
950,3.4,65,Desktop,224.0,2006
G870,3.1,32,Desktop,82.0,2012
G640,2.8,32,Desktop,64.0,2012
E5800,3.2,45,Desktop,72.0,2010
945,3.4,65,Desktop,163.0,2006
G640T,2.4,32,Desktop,68.0,2012
